V5.p X,V5.p Y
1.934999999990005e-10,-9.130799868305139e-07
1.939999999990005e-10,-9.130800036842384e-07
1.944999999990005e-10,-9.13079986458381e-07
1.949999999990005e-10,-9.130800040071206e-07
1.954999999990005e-10,-9.130799858438201e-07
1.959999999990005e-10,-9.130800043279392e-07
1.964999999990005e-10,-9.130799859109868e-07
1.969999999990005e-10,-9.1308000385187e-07
1.974999999990005e-10,-9.130799864560977e-07
1.979999999990005e-10,-9.130800038019241e-07
1.984999999990005e-10,-9.130799861459726e-07
1.989999999990005e-10,-9.130800041927617e-07
1.994999999990005e-10,-9.13079985810065e-07
1.999999999990005e-10,-9.130800046812987e-07
2.004999999990005e-10,-9.130799855173883e-07
2.009999999990005e-10,-9.130800048551593e-07
2.014999999990005e-10,-9.130799852147176e-07
2.019999999990005e-10,-9.130800056570938e-07
2.024999999990005e-10,-9.130799844331564e-07
2.029999999990005e-10,-9.130800055843306e-07
2.034999999990005e-10,-9.130799843562655e-07
2.039999999990005e-10,-9.130800058105195e-07
2.044999999990005e-10,-9.13079984403329e-07
2.049999999990005e-10,-9.130800054387689e-07
2.054999999990005e-10,-9.130799853421733e-07
2.059999999990005e-10,-9.130800041839671e-07
2.064999999990005e-10,-9.130799857154987e-07
2.069999999990005e-10,-9.130800040422673e-07
2.074999999990005e-10,-9.130799862466684e-07
2.079999999990005e-10,-9.130800043222684e-07
2.084999999990005e-10,-9.130799862061493e-07
2.089999999990005e-10,-9.130800041097991e-07
2.094999999990005e-10,-9.130799863597065e-07
2.099999999990005e-10,-9.130800039471153e-07
2.104999999990005e-10,-9.13079986873006e-07
2.109999999990005e-10,-9.130800028867321e-07
2.114999999990005e-10,-9.130799872768498e-07
2.119999999990005e-10,-9.130800028440185e-07
2.124999999990005e-10,-9.130799873889011e-07
2.129999999990005e-10,-9.130800028362266e-07
2.134999999990005e-10,-9.13079987462921e-07
2.139999999990005e-10,-9.130800026650504e-07
2.144999999990005e-10,-9.130799875948817e-07
2.149999999990005e-10,-9.130800025069315e-07
2.154999999990005e-10,-9.130799874238741e-07
2.159999999990005e-10,-9.130800027392921e-07
2.164999999990005e-10,-9.130799870847137e-07
2.169999999990005e-10,-9.13080003132599e-07
2.174999999990005e-10,-9.130799869008623e-07
2.179999999990005e-10,-9.130800030772646e-07
2.184999999990005e-10,-9.130799867178142e-07
2.189999999990005e-10,-9.130800035475955e-07
2.194999999990005e-10,-9.13079986509646e-07
2.199999999990005e-10,-9.130800041028025e-07
2.204999999990005e-10,-9.130799859789284e-07
2.209999999990005e-10,-9.130800038963238e-07
2.214999999990005e-10,-9.130799860632823e-07
2.219999999990005e-10,-9.130800042263847e-07
2.224999999990005e-10,-9.130799866056493e-07
2.229999999990005e-10,-9.130800031480953e-07
2.234999999990005e-10,-9.130799869954565e-07
2.239999999990005e-10,-9.130800029049004e-07
2.244999999990005e-10,-9.130799873733742e-07
2.249999999990005e-10,-9.13080002523476e-07
2.254999999990005e-10,-9.130799880214511e-07
2.259999999990005e-10,-9.1308000228658e-07
2.264999999990005e-10,-9.130799876895776e-07
2.269999999990005e-10,-9.13080002821733e-07
2.274999999990005e-10,-9.130799869023919e-07
2.279999999990005e-10,-9.130800032033371e-07
2.284999999990005e-10,-9.130799864121364e-07
2.289999999990005e-10,-9.130800036536761e-07
2.294999999990005e-10,-9.130799866959576e-07
2.299999999990005e-10,-9.130800032727131e-07
2.304999999990005e-10,-9.130799866705026e-07
