V4.p X,V4.p Y
1.419999999990003e-10,-2.974491658147751e-06
1.424999999990003e-10,-2.974491610219479e-06
1.429999999990003e-10,-2.974491652335017e-06
1.434999999990003e-10,-2.974491610706304e-06
1.439999999990003e-10,-2.97449164768957e-06
1.444999999990003e-10,-2.974491615020269e-06
1.449999999990003e-10,-2.974491648567581e-06
1.454999999990003e-10,-2.974491606497889e-06
1.459999999990003e-10,-2.974491648871555e-06
1.464999999990003e-10,-2.974491603020594e-06
1.469999999990003e-10,-2.97449165618023e-06
1.474999999990004e-10,-2.974491598737269e-06
1.479999999990004e-10,-2.974491657834225e-06
1.484999999990004e-10,-2.974491593307703e-06
1.489999999990004e-10,-2.974491661661846e-06
1.494999999990004e-10,-2.974491586129032e-06
1.499999999990004e-10,-2.974491664614898e-06
1.504999999990003e-10,-2.974491583026397e-06
1.509999999990003e-10,-2.97449166412223e-06
1.514999999990003e-10,-2.974491580737162e-06
1.519999999990004e-10,-2.974491662994847e-06
1.524999999990004e-10,-2.974491584412243e-06
1.529999999990004e-10,-2.97449166204819e-06
1.534999999990004e-10,-2.974491582042214e-06
1.539999999990004e-10,-2.974491665239567e-06
1.544999999990004e-10,-2.974491577985503e-06
1.549999999990004e-10,-2.974491660047821e-06
1.554999999990004e-10,-2.974491580011205e-06
1.559999999990004e-10,-2.974491656806385e-06
1.564999999990004e-10,-2.974491586876858e-06
1.569999999990004e-10,-2.974491646441818e-06
1.574999999990004e-10,-2.974491587315522e-06
1.579999999990004e-10,-2.974491642245867e-06
1.584999999990004e-10,-2.97449159605219e-06
1.589999999990004e-10,-2.974491642921245e-06
1.594999999990004e-10,-2.974491592114143e-06
1.599999999990004e-10,-2.974491641410579e-06
1.604999999990004e-10,-2.974491586786446e-06
1.609999999990004e-10,-2.974491642431733e-06
1.614999999990004e-10,-2.974491589501893e-06
1.619999999990004e-10,-2.974491633883056e-06
1.624999999990004e-10,-2.974491590096019e-06
1.629999999990004e-10,-2.974491635914885e-06
1.634999999990004e-10,-2.974491582444707e-06
1.639999999990004e-10,-2.97449164525439e-06
1.644999999990004e-10,-2.974491576713177e-06
1.649999999990004e-10,-2.974491639961584e-06
1.654999999990004e-10,-2.974491575110697e-06
1.659999999990004e-10,-2.974491645720169e-06
1.664999999990004e-10,-2.974491567715345e-06
1.669999999990004e-10,-2.974491655930779e-06
1.674999999990004e-10,-2.974491564557562e-06
1.679999999990004e-10,-2.974491648704982e-06
1.684999999990004e-10,-2.974491570332074e-06
1.689999999990004e-10,-2.974491645563371e-06
1.694999999990004e-10,-2.97449156871011e-06
1.699999999990004e-10,-2.974491647818913e-06
1.704999999990004e-10,-2.974491569259949e-06
1.709999999990004e-10,-2.974491639349413e-06
1.714999999990004e-10,-2.974491566901743e-06
1.719999999990004e-10,-2.97449164212263e-06
1.724999999990004e-10,-2.974491565657056e-06
1.729999999990004e-10,-2.974491644639839e-06
1.734999999990004e-10,-2.97449156250802e-06
1.739999999990004e-10,-2.974491635640159e-06
1.744999999990004e-10,-2.97449156434705e-06
1.749999999990004e-10,-2.97449164205518e-06
1.754999999990004e-10,-2.974491559629567e-06
1.759999999990004e-10,-2.974491648101803e-06
1.764999999990004e-10,-2.974491546776336e-06
1.769999999990004e-10,-2.974491657242244e-06
1.774999999990004e-10,-2.974491541008321e-06
1.779999999990004e-10,-2.974491656549673e-06
1.784999999990004e-10,-2.974491541730075e-06
1.789999999990004e-10,-2.974491653097998e-06
1.794999999990004e-10,-2.974491541746489e-06
1.799999999990004e-10,-2.974491655059775e-06
1.804999999990004e-10,-2.974491539078757e-06
1.809999999990004e-10,-2.974491653755041e-06
1.814999999990004e-10,-2.974491538440797e-06
1.819999999990004e-10,-2.974491652506e-06
1.824999999990004e-10,-2.974491536377876e-06
1.829999999990004e-10,-2.974491658983792e-06
1.834999999990004e-10,-2.974491529385451e-06
1.839999999990004e-10,-2.974491658414902e-06
1.844999999990004e-10,-2.974491526233964e-06
1.849999999990004e-10,-2.974491662891349e-06
1.854999999990004e-10,-2.974491521237788e-06
1.859999999990004e-10,-2.974491665241844e-06
1.864999999990004e-10,-2.974491523537035e-06
1.869999999990004e-10,-2.974491657896251e-06
1.874999999990004e-10,-2.974491523074136e-06
1.879999999990005e-10,-2.974491653243134e-06
1.884999999990005e-10,-2.974491521103251e-06
1.889999999990004e-10,-2.974491660983314e-06
1.894999999990004e-10,-2.974491516364878e-06
1.899999999990004e-10,-2.974491662559207e-06
1.904999999990004e-10,-2.974491508745753e-06
1.909999999990004e-10,-2.974491670669265e-06
1.914999999990004e-10,-2.974491499896775e-06
1.919999999990004e-10,-2.974491664737923e-06
1.924999999990005e-10,-2.974491509823203e-06
1.929999999990005e-10,-2.974491665357836e-06
1.934999999990005e-10,-2.974491504753706e-06
1.939999999990005e-10,-2.974491669853908e-06
1.944999999990005e-10,-2.974491496347228e-06
1.949999999990005e-10,-2.974491668164881e-06
1.954999999990005e-10,-2.974491495761378e-06
1.959999999990005e-10,-2.974491674169863e-06
1.964999999990005e-10,-2.974491488200126e-06
1.969999999990005e-10,-2.974491671313348e-06
1.974999999990005e-10,-2.974491491808021e-06
1.979999999990005e-10,-2.974491669373384e-06
1.984999999990005e-10,-2.974491492213041e-06
1.989999999990005e-10,-2.974491667624927e-06
1.994999999990005e-10,-2.97449149461057e-06
1.999999999990005e-10,-2.974491664296434e-06
2.004999999990005e-10,-2.974491496057714e-06
2.009999999990005e-10,-2.974491661409122e-06
2.014999999990005e-10,-2.974491493473601e-06
2.019999999990005e-10,-2.974491660845336e-06
2.024999999990005e-10,-2.974491492733509e-06
2.029999999990005e-10,-2.974491658805733e-06
2.034999999990005e-10,-2.974491490032618e-06
2.039999999990005e-10,-2.974491657165468e-06
2.044999999990005e-10,-2.974491495694908e-06
2.049999999990005e-10,-2.97449165054907e-06
2.054999999990005e-10,-2.974491499528051e-06
2.059999999990005e-10,-2.974491643191025e-06
2.064999999990005e-10,-2.974491500857487e-06
2.069999999990005e-10,-2.974491650127485e-06
2.074999999990005e-10,-2.974491493929736e-06
2.079999999990005e-10,-2.97449164879914e-06
2.084999999990005e-10,-2.974491483619787e-06
2.089999999990005e-10,-2.974491659983461e-06
2.094999999990005e-10,-2.974491481724565e-06
2.099999999990005e-10,-2.97449165349294e-06
2.104999999990005e-10,-2.974491478736689e-06
2.109999999990005e-10,-2.974491655564411e-06
2.114999999990005e-10,-2.974491479866038e-06
2.119999999990005e-10,-2.974491653346777e-06
